x1-Rated weight,x2-Actual weight,x3-Multiplier,x4-Throttle position,x5-Engine speed,x6-Luffing handle signal,x7-Winch handle signal,x8-Slewing handle signal,x9-Telescopic handle signal,x10-Left slewing current,x11-Right slewing current,x12-Flexiable pump control current,x13-Luffing balance valve control current,x14-Winch up pump control current,x15-Winch down pump control current,x16-Winch motor control current,y1-Winch speed,y2-Winch pump outlet pressure,y3-Slewing angle,y4-Boom length,y5-Flexiable pump pressure,y6-Luffing angle,y7-Amplitude,y8-Height
6,0.5,4,0,798,940,754,0,0,0,0,406,0,0,570,454,7.19,51.7,5.3,14.8,102.7,7.5,12.44,4.49
6,0.5,4,0,802,944,744,0,0,0,0,406,0,0,566,451,8.25,52.8,5.3,14.8,99.4,7.71,12.44,4.57
6,0.5,4,0,804,953,733,0,0,0,0,408,0,0,564,444,8.64,52,5.3,14.8,100.7,8.04,12.43,4.65
6,0.5,4,0,799,954,736,0,0,0,0,413,0,0,563,445,8.63,49.9,5.3,14.8,99.2,8.38,12.43,4.71
6,0.5,4,0,798,965,714,0,0,0,0,418,0,0,560,442,8.68,49.3,5.3,14.8,98.8,8.65,12.42,4.79
6,0.5,4,0,809,993,640,0,0,0,0,423,0,0,535,411,8.73,45.2,5.3,14.8,95.4,8.97,12.42,4.88
6,0.5,4,0,820,1000,537,0,0,0,0,428,0,0,503,359,8.12,36.4,5.3,14.8,95.2,9.21,12.41,4.93
6,0.5,4,0,786,1000,590,0,0,0,0,433,0,0,525,392,6.98,41.4,5.3,14.8,93.5,9.53,12.41,5.01
6,0.5,4,0,790,1000,687,0,0,0,0,427,0,0,551,424,6.54,49.3,5.3,14.8,94,9.87,12.4,5.09
6,0.5,4,0,794,1000,686,0,0,0,0,420,0,0,549,422,7.07,50.2,5.3,14.8,91,10.09,12.39,5.17
6,0.5,4,0,806,1000,687,0,0,0,0,422,0,0,548,423,7.2,47.8,5.3,14.8,89.5,10.37,12.39,5.25
6,0.5,4,0,799,1000,677,0,0,0,0,427,0,0,547,425,7.17,48.3,5.3,14.8,91,10.7,12.38,5.33
6,0.5,4,0,805,1000,666,0,0,0,0,432,0,0,543,415,8.13,46.1,5.3,14.8,90.7,11.04,12.37,5.41
6,0.5,4,0,799,1000,681,0,0,0,0,437,0,0,546,420,8.05,46.6,5.3,14.8,89.8,11.33,12.36,5.47
6,0.5,4,0,794,1000,704,0,0,0,0,442,0,0,554,431,8.23,48.9,5.3,14.8,90,11.62,12.35,5.55
6,0.5,4,0,796,1000,700,0,0,0,0,439,0,0,553,426,8.59,48.4,5.3,14.8,87.5,11.93,12.34,5.63
